Année,Impôts_par_Foyer
2012,1380.4306323596174
2013,1450.3089782548052
2014,1442.1970389384192
2015,1454.143077132401
2016,1429.0366188014748
2017,1455.4685279373266
2018,1533.551624942083
2019,1524.880578034382
2020,1442.8569464553295
