CANTAL;2013; 88037 ; 84305098 
CHARENTE;2013; 205063 ; 252087262 
CHARENTE-MARITIME;2013; 377273 ; 524383027 
CHER;2013; 180843 ; 222269959 
CORREZE;2013; 141951 ; 165690912 
COTE-DOR;2013; 291846 ; 499117651 
COTES-DARMOR;2013; 339476 ; 399703082 
CREUSE;2013; 73511 ; 59421617 
DORDOGNE;2013; 246099 ; 248811422 
DOUBS;2013; 290964 ; 475034471 
DROME;2013; 284043 ; 364584168 
EURE;2013; 325660 ; 471933825 
EURE-ET-LOIR;2013; 236300 ; 384366166 
FINISTERE;2013; 511905 ; 654488256 
GARD;2013; 418457 ; 522666144 
HAUTE-GARONNE;2013; 719724 ; 1405486855 
GERS;2013; 111810 ; 124161665 
GIRONDE;2013; 860209 ; 1469514709 
HERAULT;2013; 638447 ; 911163872 
ILLE-ET-VILAINE;2013; 539915 ; 799637522 
INDRE;2013; 134567 ; 144019265 
INDRE-ET-LOIRE;2013; 333123 ; 505444494 
ISERE;2013; 670232 ; 1120376983 
JURA;2013; 147482 ; 190771482 
LANDES;2013; 232606 ; 287333073 
LOIR-ET-CHER;2013; 189165 ; 255583178 
LOIRE;2013; 415925 ; 502618818 
HAUTE-LOIRE;2013; 128927 ; 124878613 
LOIRE-ATLANTIQUE;2013; 723183 ; 1138619219 
LOIRET;2013; 368112 ; 602727784 
LOT;2013; 103102 ; 112278124 
LOT-ET-GARONNE;2013; 191642 ; 205318131 
LOZERE;2013; 44251 ; 41785917 
MAINE-ET-LOIRE;2013; 422758 ; 483584303 
MANCHE;2013; 280158 ; 308707793 
MARNE;2013; 307601 ; 617408397 
HAUTE-MARNE;2013; 104330 ; 109457177 
MAYENNE;2013; 163568 ; 171451158 
MEURTHE-ET-MOSELLE;2013; 396491 ; 548407303 
MEUSE;2013; 106458 ; 113152801 
MORBIHAN;2013; 420186 ; 543704381 
MOSELLE;2013; 571180 ; 703962619 
NIEVRE;2013; 127637 ; 140063491 
NORD;2013; 1391791 ; 1898498845 
OISE;2013; 441497 ; 751334588 
ORNE;2013; 162807 ; 164157176 
PAS-DE-CALAIS;2013; 796254 ; 828648057 
PUY-DE-DOME;2013; 366787 ; 533339788 
PYRENEES-ATLANTIQUES;2013; 387767 ; 592542952 
HAUTES-PYRENEES;2013; 138095 ; 145878116 
PYRENEES-ORIENTALES;2013; 276576 ; 324226070 
BAS-RHIN;2013; 601099 ; 1092494722 
HAUT-RHIN;2013; 410783 ; 855817170 
RHONE;2013; 974550 ; 2115638461 
HAUTE-SAONE;2013; 133918 ; 135526300 
SAONE-ET-LOIRE;2013; 316162 ; 390142091 
SARTHE;2013; 310805 ; 369524382 
SAVOIE;2013; 243511 ; 411099120 
HAUTE-SAVOIE;2013; 432581 ; 816687185 
PARIS;2013; 1420941 ; 8443603486 
SEINE-MARITIME;2013; 693586 ; 1002008030 
SEINE-ET-MARNE;2013; 730987 ; 1477683754 
YVELINES;2013; 748020 ; 2919492804 
DEUX-SEVRES;2013; 206462 ; 234276635 
SOMME;2013; 315572 ; 418601844 
TARN;2013; 219271 ; 240260097 
TARN-ET-GARONNE;2013; 143530 ; 144135758 
VAR;2013; 631944 ; 1059499047 
VAUCLUSE;2013; 323236 ; 410979119 
VENDEE;2013; 366151 ; 412149361 
VIENNE;2013; 237473;301715633 
HAUTE-VIENNE;2013; 213121 ; 269402575 
VOSGES;2013; 214939 ; 229240672 
YONNE;2013; 197923 ; 264505639 
TERRITOIRE DE BELFORT;2013; 76318 ; 118647590 
ESSONNE;2013; 673114 ; 1617365217 
HAUTS-DE-SEINE;2013; 889353 ; 4324619541 
SEINE-SAINT-DENIS;2013; 842876 ; 1044584259 
VAL-DE-MARNE;2013; 758607 ; 1954663423 
VAL-D'OISE;2013; 641357 ; 1264500224 
GUADELOUPE;2013; 243144 ; 163383426 
MARTINIQUE;2013; 238214 ; 181303219 
GUYANE;2013; 99194 ; 68486982 
LA REUNION;2013; 468201 ; 322989704 
MAYOTTE;2013; 69680 ; 1719517 
Direction des Impôts des non résidents;2013; 211301 ; 591501576 
CORSE-DU-SUD;2014; 87454 ; 140110822 
HAUTE-CORSE;2014; 96535 ; 123620292 
AIN;2014; 332118 ; 554571704 
AISNE;2014; 300094 ; 343449173 
ALLIER;2014; 204449 ; 211075057 
ALPES-DE-HAUTE-PROVENCE;2014; 97979 ; 116804741 
HAUTES-ALPES;2014; 83546 ; 97963307 
ALPES-MARITIMES;2014; 696083 ; 1521408480 
ARDECHE;2014; 187859 ; 198372474 
ARDENNES;2014; 155716 ; 161401474 
ARIEGE;2014; 90923 ; 79454761 
AUBE;2014; 171798 ; 248097806 
AUDE;2014; 213105 ; 202462776 
AVEYRON;2014; 160451 ; 163692981 
BOUCHES-DU-RHONE;2014; 1161638 ; 2091308834 
CALVADOS;2014; 387473 ; 549641330 
CANTAL;2014; 88151 ; 81719681 
CHARENTE;2014; 205961 ; 244125569 
CHARENTE-MARITIME;2014; 380989 ; 512259039 
CHER;2014; 181209 ; 212836480 
CORREZE;2014; 142242 ; 159310977 
COTE-DOR;2014; 293076 ; 491215189 
COTES-DARMOR;2014; 340871 ; 387213853 
CREUSE;2014; 73295 ; 57217765 
DORDOGNE;2014; 248266 ; 248749512 
DOUBS;2014; 294152 ; 499204484 
DROME;2014; 289489 ; 367043955 
EURE;2014; 329893 ; 450183125 
EURE-ET-LOIR;2014; 238435 ; 351586439 
FINISTERE;2014; 518489 ; 652384200 
GARD;2014; 425851 ; 543052807 
